Date,"Flu","Sinusitis","Fatigue","Feeling cold","Bronchitis","Pneumonia","Headache","Congestion","Chest pain","Soar throat"
2021-10-23,57,1647,439,0,1738,5532,517,27,527,1
2021-10-24,50,1676,362,0,1810,5845,555,22,576,0
2021-10-25,57,1966,455,0,2186,5967,671,31,731,0
2021-10-26,73,1975,479,1,2440,5603,640,31,700,0
2021-10-27,73,1932,448,1,2450,5381,660,21,609,0
2021-10-28,68,1901,494,0,2317,5412,620,26,650,0
2021-10-29,44,1749,435,1,2108,5126,600,22,614,3
2021-10-30,44,1610,376,0,1808,4853,528,19,591,0
2021-10-31,41,1585,367,0,1926,4968,526,24,615,0
2021-11-01,48,1760,408,0,2081,5340,597,46,686,0
2021-11-02,59,1890,434,1,2279,5304,677,35,730,2
2021-11-03,65,1903,408,0,2643,5077,602,22,624,1
2021-11-04,55,1931,399,0,2543,4935,617,24,589,1
2021-11-05,47,1648,425,0,2568,5116,550,15,557,0
2021-11-06,38,1555,381,1,2308,4795,528,18,652,0
2021-11-07,51,1567,451,0,2418,4942,540,19,582,0
2021-11-08,51,1985,422,0,2412,5477,568,19,687,1
2021-11-09,60,1973,513,0,2516,5349,636,29,621,0
2021-11-10,79,1902,444,0,2782,5804,634,18,644,0
2021-11-11,63,1862,442,0,2793,6172,633,27,596,0
2021-11-12,46,1670,377,0,2599,5534,662,25,624,0
2021-11-13,48,1468,340,0,2211,4946,526,18,547,0
2021-11-14,43,1621,400,0,2285,5213,555,23,539,0
2021-11-15,70,1822,508,0,2268,5730,632,32,634,0
2021-11-16,63,1817,418,0,2602,5433,616,30,638,0
2021-11-17,68,1829,421,0,2919,5602,648,24,556,1
2021-11-18,57,2058,429,0,2655,7061,765,23,659,1
2021-11-19,47,1635,465,0,2591,5118,657,40,607,0
2021-11-20,45,1547,449,0,2352,4600,536,20,674,0
2021-11-21,46,1641,525,1,2341,4973,564,24,573,1
2021-11-22,51,1761,546,0,2745,5503,674,28,756,0
2021-11-23,60,1835,538,0,3053,5406,797,26,659,0
2021-11-24,64,1931,529,0,2934,5318,677,22,645,0
2021-11-25,60,1712,391,0,2433,4776,631,42,584,1
2021-11-26,54,1694,423,0,2482,4937,585,20,539,0
2021-11-27,64,1532,405,0,2340,5004,543,15,570,0
2021-11-28,66,1625,488,3,2636,5491,520,26,592,0
2021-11-29,81,1872,508,0,2532,5767,706,24,643,0
2021-11-30,86,2083,487,0,2882,6356,673,22,589,0
2021-12-01,72,1920,493,0,3512,5734,706,38,553,1
2021-12-02,90,1914,433,1,3434,5754,674,32,578,0
2021-12-03,78,1738,442,0,3086,5307,671,29,523,0
2021-12-04,73,1530,379,1,2552,5086,592,19,491,0
2021-12-05,62,1552,468,0,2399,5807,605,18,500,0
2021-12-06,84,1804,501,0,2454,5775,669,28,536,0
2021-12-07,87,1700,490,0,2361,5684,722,23,569,0
2021-12-08,70,1781,496,0,2639,5229,678,28,549,0
2021-12-09,90,1596,417,0,2648,5112,609,36,527,0
2021-12-10,61,1492,397,0,2385,4771,647,21,501,0
2021-12-11,65,1506,385,0,1947,4582,623,22,505,0
2021-12-12,61,1442,437,0,2002,5023,1003,29,518,0
2021-12-13,81,1597,474,0,2111,5760,864,33,578,1
2021-12-14,65,1643,471,0,2158,5290,802,29,587,0
2021-12-15,79,1598,435,0,2376,5269,718,28,519,0
2021-12-16,68,1589,573,0,2459,5101,598,23,566,1
2021-12-17,65,1419,436,0,2314,4771,639,21,517,0
2021-12-18,75,1455,368,0,2195,4638,553,12,419,1
2021-12-19,71,1424,379,0,2290,4900,621,31,471,0
2021-12-20,98,1671,477,0,2530,5456,613,27,570,0
2021-12-21,83,1619,430,0,2401,5519,623,40,567,1
2021-12-22,94,1640,470,0,2645,5250,619,30,611,0
2021-12-23,72,1464,497,1,2696,5567,593,36,511,0
2021-12-24,67,1347,349,0,2343,5050,507,32,440,0
2021-12-25,66,1156,316,0,1969,4769,475,42,429,0
2021-12-26,79,1597,356,0,2381,6483,559,23,508,0
2021-12-27,99,1663,480,1,2524,8362,630,19,599,0
2021-12-28,108,1767,482,0,2748,6613,541,32,674,0
2021-12-29,93,1889,471,0,3080,6347,623,32,635,1
2021-12-30,86,1901,456,0,3083,6311,613,29,643,0
2021-12-31,98,1537,344,0,2676,5627,519,23,458,0
2022-01-01,118,1428,398,0,2470,5793,485,18,608,0
2022-01-02,91,1685,423,0,2677,6407,627,28,613,1
2022-01-03,138,1723,523,0,2677,6461,599,31,665,0
2022-01-04,116,1842,590,0,2836,6822,666,36,595,0
2022-01-05,127,1843,527,0,3073,6485,701,60,688,0
2022-01-06,103,1879,536,0,3051,6632,637,59,619,1
2022-01-07,99,1564,493,0,2851,6306,688,40,633,2
2022-01-08,104,1631,488,0,2470,6315,606,27,604,0
2022-01-09,86,1589,514,0,2215,6401,664,42,618,0
2022-01-10,101,1761,523,0,2141,6425,695,28,693,0
2022-01-11,113,1776,541,1,2198,7455,658,38,644,0
2022-01-12,97,1770,545,0,2162,6408,636,32,521,0
2022-01-13,74,1676,463,0,2116,6139,569,22,499,1
2022-01-14,99,1552,437,0,2078,5848,562,37,527,0
2022-01-15,77,1384,390,0,1891,5977,499,36,490,0
2022-01-16,74,1409,442,0,1713,5644,591,34,462,0
2022-01-17,79,1644,466,0,1781,5719,598,27,528,0
2022-01-18,76,1572,507,0,1763,6046,635,41,514,1
2022-01-19,91,1538,530,0,1909,5972,599,29,495,1
2022-01-20,71,1522,494,0,2085,5586,577,27,488,0
2022-01-21,68,1267,444,0,1920,5283,547,28,456,0
2022-01-22,72,1316,462,0,1553,5196,536,31,457,0
2022-01-23,78,1396,424,0,1528,5352,517,25,445,0
2022-01-24,95,1511,493,0,1831,5025,580,47,491,0
